"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";;"429";"Não competitivo";"4222";"19844,46";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"337"
"1,3121289";;"805";"Não competitivo";"716";"3500";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"740"
"1,3121289";;"1186";"Não competitivo";"86";"1,7";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"1180"
"1,3121289";;"893";"Não competitivo";"4232";"2300";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"335"
"1,3121289";;"339";"Não competitivo";"24812";"42992,56";"70";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"153"
"1,3121289";;"307";"Não competitivo";"2002";"53994,12";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"481"
"1,3121289";;"355";"Não competitivo";"6574";"34918,76";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"273"
"1,3121289";;"1114";"Não competitivo";"115";"432,92";"70";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"1160"
"1,3121289";;"791";"Não competitivo";"303";"3655,95";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"986"
"1,3121289";;"754";"Não competitivo";"905";"4288";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"672"
"1,3121289";;"660";"Não competitivo";"924";"6707";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"668"
"1,3121289";;"247";"Não competitivo";"2327";"91989,4";"70";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"441"
"1,3121289";;"919";"Não competitivo";"395";"2000";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"923"
"1,3121289";;"1023";"Não competitivo";"173";"1010";"70";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"1103"
"1,3121289";;"896";"Não competitivo";"1667";"2287";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"519"
"1,3121289";;"36";"Competitivo";"77595";"1925587,85";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"73"
"1,3121289";;"83";"Competitivo";"50257";"874038,55";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"101"
"1,3121289";;"447";"Não competitivo";"669";"17894,09";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"763"
"1,3121289";;"176";"Não competitivo";"6486";"169000,41";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"277"
"1,3121289";;"71";"Competitivo";"54186";"1119068,74";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"93"
"1,3121289";;"457";"Não competitivo";"1524";"17389,27";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"532"
"1,3121289";;"946";"Não competitivo";"870";"1765,5";"70";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"683"
"1,3121289";;"1045";"Não competitivo";"670";"873";"70";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"762"
"1,3121289";;"413";"Não competitivo";"2083";"23014";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"471"
"1,3121289";;"1107";"Não competitivo";"174";"460,6";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"1102"
"1,3121289";;"1102";"Não competitivo";"3074";"490";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"381"
"1,3121289";;"1115";"Não competitivo";"545";"412,5";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"837"
"1,3121289";;"1160";"Não competitivo";"2696";"200";"70";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2014";"SP";"406"
"1,3121289";;"74";"Competitivo";"37548";"1045437,68";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"121"
"1,3121289";;"1063";"Não competitivo";"2232";"715";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"454"
"1,3121289";;"716";"Não competitivo";"320";"5086,93";"70";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"977"
"1,3121289";;"1155";"Não competitivo";"564";"250";"70";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2014";"SP";"825"
